 1 ,  331 ,    2 ,   23.732
 1 ,  331 ,    3 ,   62.163
 1 ,  331 ,    4 ,   74.043
 1 ,  331 ,    5 ,   78.882
 1 ,  331 ,   10 ,  106.793
 1 ,  331 ,   15 ,  138.831
 1 ,  331 ,   20 ,  146.912
 1 ,  331 ,   30 ,  165.934
 1 ,  331 ,   40 ,  197.625
 1 ,  331 ,   50 ,  194.442
 2 ,  331 ,    2 ,   21.359
 2 ,  331 ,    3 ,   23.664
 2 ,  331 ,    4 ,   35.598
 2 ,  331 ,    5 ,   38.564
 2 ,  331 ,   10 ,   89.569
 2 ,  331 ,   15 ,  118.322
 2 ,  331 ,   20 ,  154.257
 2 ,  331 ,   30 ,  207.211
 2 ,  331 ,   40 ,  259.498
 2 ,  331 ,   50 ,  312.683
 4 ,  331 ,    2 ,   13.036
 4 ,  331 ,    3 ,   20.619
 4 ,  331 ,    4 ,   25.015
 4 ,  331 ,    5 ,   33.055
 4 ,  331 ,   10 ,   60.362
 4 ,  331 ,   15 ,   95.526
 4 ,  331 ,   20 ,  150.904
 4 ,  331 ,   30 ,  225.132
 4 ,  331 ,   40 ,  276.282
 4 ,  331 ,   50 ,  359.667
 6 ,  331 ,    2 ,   10.846
 6 ,  331 ,    3 ,   10.335
 6 ,  331 ,    4 ,   25.474
 6 ,  331 ,    5 ,   29.539
 6 ,  331 ,   10 ,   42.456
 6 ,  331 ,   15 ,   97.312
 6 ,  331 ,   20 ,  134.788
 6 ,  331 ,   30 ,  130.563
 6 ,  331 ,   40 ,  108.674
 6 ,  331 ,   50 ,  301.808
 8 ,  331 ,    2 ,   12.975
 8 ,  331 ,    3 ,    3.448
 8 ,  331 ,    4 ,   12.368
 8 ,  331 ,    5 ,   22.685
 8 ,  331 ,   10 ,   30.920
 8 ,  331 ,   15 ,   65.281
 8 ,  331 ,   20 ,   66.268
 8 ,  331 ,   30 ,  125.829
 8 ,  331 ,   40 ,  250.147
 8 ,  331 ,   50 ,  232.939
